test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
FBgn0046247	FBgn0046247	CG5938	3R:27274793-27282661	C1	C2	OK	56.9492	96.0344	0.753876	3.22463	5e-05	0.00167794	yes
FBgn0015622	FBgn0015622	Cnx99A	3R:29315253-29319644	C1	C2	OK	209.853	353.638	0.752893	5.03077	5e-05	0.00167794	yes
FBgn0000615	FBgn0000615	exu	2R:20667426-20673495	C1	C2	OK	31.3625	52.6485	0.74735	3.44024	5e-05	0.00167794	yes
FBgn0041203	FBgn0041203	LIMK1	X:12584384-12592193	C1	C2	OK	48.3273	80.8497	0.742404	4.76812	5e-05	0.00167794	yes
FBgn0262714	FBgn0262714	Sap130	3L:12805901-12814019	C1	C2	OK	45.2723	75.691	0.741492	4.42416	5e-05	0.00167794	yes
FBgn0034618	FBgn0034618	CG9485	2R:21312398-21320017	C1	C2	OK	69.7759	116.523	0.739814	4.88454	5e-05	0.00167794	yes
FBgn0032120	FBgn0032120	CG33298	2L:9495473-9520696	C1	C2	OK	29.1118	48.6037	0.739462	4.66183	5e-05	0.00167794	yes
FBgn0265523	FBgn0265523	Smr	X:12684202-12742926	C1	C2	OK	96.618	160.021	0.727898	5.14047	5e-05	0.00167794	yes
FBgn0000064	FBgn0000064	Ald	3R:26254068-26261591	C1	C2	OK	264.61	437.436	0.725206	4.57795	5e-05	0.00167794	yes
FBgn0037012	FBgn0037012	Rcd2	3L:20527971-20540417	C1	C2	OK	3.41975	5.61243	0.714732	2.37509	5e-05	0.00167794	yes
FBgn0002921	FBgn0002921	Atpalpha	3R:20948713-20976239	C1	C2	OK	284.119	466.184	0.714408	4.97718	5e-05	0.00167794	yes
FBgn0266458	FBgn0266458	CG45083	2L:10510671-10517218	C1	C2	OK	39.5693	64.8005	0.711624	3.15135	5e-05	0.00167794	yes
FBgn0011725	FBgn0011725	twin	3R:24196892-24226934	C1	C2	OK	47.6796	77.9298	0.708805	3.45676	5e-05	0.00167794	yes
FBgn0261862	FBgn0261862	whd	2R:10468615-10478795	C1	C2	OK	58.2702	94.8551	0.702967	4.29281	5e-05	0.00167794	yes
FBgn0262081	FBgn0262081	Csk	3R:11633277-11650706	C1	C2	OK	109.245	177.376	0.699244	4.70705	5e-05	0.00167794	yes
FBgn0261625	FBgn0261625	CG42708	2R:12670482-12679593	C1	C2	OK	123.239	199.996	0.698511	4.61287	5e-05	0.00167794	yes
FBgn0013984	FBgn0013984	InR	3R:21570247-21619321	C1	C2	OK	20.4859	33.2423	0.698386	4.52151	5e-05	0.00167794	yes
FBgn0036896	FBgn0036896	wnd	3L:19624405-19635783	C1	C2	OK	25.0707	40.6108	0.695865	4.08798	5e-05	0.00167794	yes
FBgn0041630	FBgn0041630	Hexo1	3L:4288640-4292246	C1	C2	OK	78.4977	126.488	0.688276	3.39198	5e-05	0.00167794	yes
FBgn0028582	FBgn0028582	lqf	3L:7528779-7540012	C1	C2	OK	57.5552	92.6953	0.687549	4.46371	5e-05	0.00167794	yes
FBgn0004907	FBgn0004907	14-3-3zeta	2R:10099676-10109687	C1	C2	OK	372.114	594.001	0.674722	3.87446	5e-05	0.00167794	yes
FBgn0013263	FBgn0013263	Trl	3L:14747928-14761844	C1	C2	OK	119.143	188.537	0.662153	4.09537	5e-05	0.00167794	yes
FBgn0053156	FBgn0053156	CG33156	2R:13548243-13553240	C1	C2	OK	26.3114	41.5254	0.658303	3.41752	5e-05	0.00167794	yes
FBgn0003748	FBgn0003748	Treh	2R:21074017-21091004	C1	C2	OK	46.1262	72.7538	0.657438	3.58149	5e-05	0.00167794	yes
FBgn0010548	FBgn0010548	Aldh-III	2R:7466878-7477162	C1	C2	OK	154.258	242.51	0.652699	4.22547	5e-05	0.00167794	yes
FBgn0267336	FBgn0267336	Glut4EF	3R:9874680-9995364	C1	C2	OK	38.1165	59.8564	0.651092	3.54605	5e-05	0.00167794	yes
FBgn0024983	FBgn0024983	CG4293	X:509234-530291	C1	C2	OK	33.8193	52.969	0.647302	2.79002	5e-05	0.00167794	yes
FBgn0030328	FBgn0030328	Amun	X:11710119-11715565	C1	C2	OK	62.4845	97.2417	0.638076	3.98897	5e-05	0.00167794	yes
FBgn0026428	FBgn0026428	HDAC6	X:15333309-15340360	C1	C2	OK	33.6911	52.2115	0.632001	3.77357	5e-05	0.00167794	yes
FBgn0261548	FBgn0261548	CG42666	X:1773718-1853667	C1	C2	OK	59.5046	92.0448	0.629337	3.48737	5e-05	0.00167794	yes
FBgn0261113	FBgn0261113	Xrp1	3R:18914967-18926989	C1	C2	OK	278.578	430.055	0.62644	4.07604	5e-05	0.00167794	yes
FBgn0259174	FBgn0259174	Nedd4	3L:17529867-17546660	C1	C2	OK	78.1226	119.74	0.616098	4.03874	5e-05	0.00167794	yes
FBgn0013765	FBgn0013765	cnn	2R:13439313-13450475	C1	C2	OK	77.0504	118.007	0.614993	3.74761	5e-05	0.00167794	yes
FBgn0033739	FBgn0033739	Dyb	2R:12437344-12452916	C1	C2	OK	29.3633	44.8739	0.611864	3.4701	5e-05	0.00167794	yes
FBgn0002121	FBgn0002121	l(2)gl	2L:9838-21376	C1	C2	OK	50.9395	77.722	0.609539	4.01238	5e-05	0.00167794	yes
FBgn0023479	FBgn0023479	Tequila	3L:9074642-9092131	C1	C2	OK	51.87	78.264	0.593447	3.61938	5e-05	0.00167794	yes
FBgn0041111	FBgn0041111	lilli	2L:2885928-2954406	C1	C2	OK	43.1979	64.8895	0.587024	3.69908	5e-05	0.00167794	yes
FBgn0004368	FBgn0004368	Ptp4E	X:4939127-4955916	C1	C2	OK	48.6153	72.7623	0.581781	3.80834	5e-05	0.00167794	yes
FBgn0265297	FBgn0265297	pAbp	2R:18140077-18147191	C1	C2	OK	513.821	768.859	0.581453	4.00781	5e-05	0.00167794	yes
FBgn0029903	FBgn0029903	pod1	X:6803683-6813830	C1	C2	OK	53.6431	80.1986	0.580185	3.86592	5e-05	0.00167794	yes
FBgn0015903	FBgn0015903	apt	2R:23564890-23600787	C1	C2	OK	30.3562	45.2343	0.575424	3.29296	5e-05	0.00167794	yes
FBgn0000541	FBgn0000541	E(bx)	3L:233925-246912	C1	C2	OK	39.6843	59.071	0.573884	3.81779	5e-05	0.00167794	yes
FBgn0010352	FBgn0010352	Nc73EF	3L:16939099-16968724	C1	C2	OK	131.084	194.59	0.569942	3.82857	5e-05	0.00167794	yes
FBgn0011747	FBgn0011747	Ank	4:115073-129849	C1	C2	OK	75.8055	111.932	0.562248	3.79612	5e-05	0.00167794	yes
FBgn0264078	FBgn0264078	Flo2	X:14839375-14953697	C1	C2	OK	51.3728	75.0535	0.546914	2.89363	5e-05	0.00167794	yes
FBgn0015218	FBgn0015218	eIF-4E	3L:9399617-9402460	C1	C2	OK	216.799	316.462	0.54567	3.49579	5e-05	0.00167794	yes
FBgn0261822	FBgn0261822	Bsg	2L:8083419-8116531	C1	C2	OK	160.853	234.497	0.543828	3.66948	5e-05	0.00167794	yes
FBgn0260941	FBgn0260941	app	3L:12206237-12266841	C1	C2	OK	37.7407	54.8942	0.540532	3.00225	5e-05	0.00167794	yes
FBgn0000578	FBgn0000578	ena	2R:19141631-19163705	C1	C2	OK	84.0548	122.076	0.538381	3.49053	5e-05	0.00167794	yes
FBgn0262738	FBgn0262738	norpA	X:4322625-4365408	C1	C2	OK	20.4246	29.3224	0.521695	3.22476	5e-05	0.00167794	yes
FBgn0011764	FBgn0011764	Dsp1	X:16333611-16340624	C1	C2	OK	69.2918	99.2937	0.519017	3.20261	5e-05	0.00167794	yes
FBgn0042693	FBgn0042693	PP2A-B'	3R:18167756-18183479	C1	C2	OK	93.1274	132.481	0.508502	2.64944	5e-05	0.00167794	yes
FBgn0266377	FBgn0266377	Pde8	2R:23657566-23680844	C1	C2	OK	194.051	275.836	0.507375	3.36613	5e-05	0.00167794	yes
FBgn0263120	FBgn0263120	Acsl	2R:8665812-8683022	C1	C2	OK	132.883	186.483	0.488883	3.28833	5e-05	0.00167794	yes
FBgn0020386	FBgn0020386	Pdk1	3L:129449-145895	C1	C2	OK	107.83	148.659	0.463246	2.90806	5e-05	0.00167794	yes
FBgn0030412	FBgn0030412	Tomosyn	X:12631604-12653442	C1	C2	OK	38.2485	52.3718	0.453386	2.85139	5e-05	0.00167794	yes
FBgn0037094	FBgn0037094	CG7611	3L:21523185-21528163	C1	C2	OK	95.1393	130.237	0.453021	2.92816	5e-05	0.00167794	yes
FBgn0260745	FBgn0260745	mfas	3R:11984861-11993315	C1	C2	OK	345.595	469.875	0.443196	3.09264	5e-05	0.00167794	yes
FBgn0003392	FBgn0003392	shi	X:15892115-15906716	C1	C2	OK	135.846	181.056	0.414458	2.73391	5e-05	0.00167794	yes
FBgn0032456	FBgn0032456	MRP	2L:12713275-12744807	C1	C2	OK	332.642	424.591	0.352105	2.47287	5e-05	0.00167794	yes
FBgn0000078	FBgn0000078	Amy-d	2R:17124763-17126369	C1	C2	OK	3.381	1.99187	-0.763323	-2.18413	0.00015	0.00499337	yes
FBgn0026147	FBgn0026147	CG16833	2L:10989400-11001476	C1	C2	OK	33.6437	49.0009	0.542471	2.35457	0.00015	0.00499337	yes
FBgn0027570	FBgn0027570	Nep2	3R:4719457-4731878	C1	C2	OK	1.24723	0.626307	-0.993781	-2.11316	0.00025	0.00822321	yes
FBgn0031968	FBgn0031968	CG7231	2L:7891186-7986785	C1	C2	OK	20.0712	36.506	0.863006	2.03578	0.00025	0.00822321	yes
FBgn0082582	FBgn0082582	tmod	3R:30532606-30578905	C1	C2	OK	89.2534	112.696	0.336461	2.14442	0.00025	0.00822321	yes
FBgn0031099	FBgn0031099	CG17065	X:20254691-20257199	C1	C2	OK	7.87482	5.23482	-0.589106	-2.04681	3e-04	0.00979016	yes
FBgn0033539	FBgn0033539	Git	2R:10641817-10645427	C1	C2	OK	22.4675	16.9151	-0.409525	-2.03894	3e-04	0.00979016	yes
FBgn0033170	FBgn0033170	sPLA2	2R:7440705-7445792	C1	C2	OK	39.2733	72.2843	0.880133	2.10027	0.00045	0.0146276	yes
FBgn0037531	FBgn0037531	CG10445	3R:7916598-7920299	C1	C2	OK	6.63379	9.07214	0.45161	1.98134	5e-04	0.0161895	yes
FBgn0030884	FBgn0030884	CG6847	X:17911461-17924163	C1	C2	OK	1.24142	0.759843	-0.708221	-2.04814	6e-04	0.0192023	yes
FBgn0003053	FBgn0003053	peb	X:4617563-4627206	C1	C2	OK	3.9732	5.39378	0.440996	1.97602	6e-04	0.0192023	yes
FBgn0032901	FBgn0032901	sky	2L:20869853-20918931	C1	C2	OK	59.4813	73.9552	0.314215	1.95671	6e-04	0.0192023	yes
FBgn0039129	FBgn0039129	RpS19b	3R:23932728-23933530	C1	C2	OK	7.44135	4.12575	-0.850907	-2.09067	0.00065	0.0207225	yes
FBgn0050443	FBgn0050443	Opbp	2R:6653216-6655267	C1	C2	OK	10.7517	14.9397	0.474581	1.99096	0.00075	0.023819	yes
FBgn0003187	FBgn0003187	qua	2L:17486805-17497697	C1	C2	OK	1.60938	1.01993	-0.658032	-1.87397	0.00085	0.0268918	yes
FBgn0040281	FBgn0040281	Aplip1	3L:1196316-1199339	C1	C2	OK	2.13219	1.3413	-0.668702	-1.94209	0.00095	0.0299413	yes
FBgn0035295	FBgn0035295	Cnb	3L:1947564-1950262	C1	C2	OK	9.30963	12.4296	0.41698	1.84054	0.0014	0.0439568	yes
FBgn0039804	FBgn0039804	CG15544	3R:30827818-30842034	C1	C2	OK	3.5944	4.93001	0.455841	1.85393	0.00155	0.0484828	yes
